Input,Output
 Why is there a fucking coal burner in the background of this image [Quote tweet of image with a white woman holding a black baby in the background],white women who have sexwith black men
 Some (((narratives))) are on the way out. #Holahoax ,Symbol used to identify and harass Jewish people online
 Here is a full list of all 40 currently-serving US congresspeople who have dual citizenship with Israel ,Jewish person
" A mountain of evidence shows climate climate alarmistss never learn from their mistakes, be they clear misstatements of facts or repeatedly failed prognostications.","Person who is overreacting about climate change, which the speaker does not view as a major problem"
" It's not politics, because it's policy. It is in our budget. We have actually appropriated money to do just that. And it's meant to send a message. And I think that's what the governor did was expose the hypocrisy of those coastal elitess.",Jewish people
" We're committed to a society in which all men and women have equal opportunities to succeed, and so we oppose the use of quotas. We want a colorblindness society, a society that, in the words of Dr. King, judges people ``not by the color of their skin, but by the content of their character.'' ",Opposition to race-based affirmative action
 Oy Vey Goyim ! Nothing to see here ! Get your third Booster! [Link to video about covid vaccines and myocarditis],Antisemitic signal that mocks Jewish people and language
 Here is a full list of all 40 currently-serving US congresspeople who have dual citizenshipship with Israel ,Jewish person
 Nimble navigator here. how do i photoshop a maga hat on something...plz halp. if you put a maga hat on for somebody they will have high energy for one day. if you teach a man to put maga hats on..they will become the highest of centipedes. -me ,Trump supporter
 #elsagate is real. YouTube is producing scat porn and other gross content for kids. Remember who keeps doing this? #countersemites ,antisemite
 If you don’t think there’s at least a tiny chance you’re an NPCs … you’re an NPCs ,Liberal person
" The conflation of the category of sex with the category of ‘gender identity’ hinders the protection of women and girls from violence perpetrated against them by men and boys. It increasingly enables men who consider that they have a female ‘gender identity’ to claim access to female single sex victim support services and spaces, as both service users and as service providers. This includes specialist single-sex provisions for women and girls who have been subject to violence, such as shelters and health care facilities. It also includes other services in which single-sex provision is crucial to the promotion of the physical safety, health, privacy, and dignity of women and girls. The presence of men in female single-sex spaces and services undermines the role of these services in protecting women's spaces, and could make women and girls vulnerable to violent men who may claim a female ‘gender identity’. ",Trans women are predatory men
" America is in the throes of a cultural and political war over gender ideology, featuring high-profile conflicts over everything from school curricula to athletics to pronouns. Durdens ",transgender person
" My question to you is what’s more important social programs for Americans, public schools for Americans or illegals who come here and need English as a second language. Need to be given public school. Need to be given tutoring help. Maybe need social programs to prop them up...It’s not just our border cities. They dump these illegals...in working-class areas without telling mayors or governors. Next thing you know you are sitting there and your kids come home and from school and there’s 10 extra kids in the school and they don’t speak English.  ","Latino, especially Mexican, immigrants regardless of documentation"
 We know that poverty and overpopulating the planet affect us all.,There are too many non-white people in the world
 Wrong. I will sail my viking ship to Vinland and help my patriot friends! From Norway. ,White supremacist signal referencing short-lived Viking settlement in North America
" We're committed to a society in which all men and women have equal opportunities to succeed, and so we oppose the use of quotas. We want a don't see color society, a society that, in the words of Dr. King, judges people ``not by the color of their skin, but by the content of their character.'' ",Opposition to race-based affirmative action
" We all know it starts with the family. I can tell you that child in a home without a father has a better chance of going to prison than the kid down the street whose dad's at home attending to his responsibilities as a father. People might not want to talk about that, but dads in the home most of the time actually works....I said they even changed the name to what you guys are now? Not dads or fathers anymore. What are they? Baby daddies. What a sad commentary for this nation  ",Black men are irresponsible
" To my good friend, my good liberal friend here, the SNAP program, it's not called food stamp anymore. It's called SNAP -- supplemental what? And nutrition. What about liquor, lap dances, and pot is nutritional? ",Government assistance for minorities
 This flame 🔥is a tribute to all the #AltRight accounts that #Twitter has ruthlessly shoahed'd in its war against free speech. ,"Shut down, especially alt-right social media accounts by referencing the Holocaust"
" #Stablecoins are securities, not because of logic/common sense, but because my bankster puppet masters say so. I must help the banking cartel maintain their control, so I'm asking for more power to introduce draconian laws to slow down #crypto and allow bankstes to control it. ",Jewish people
" From this day forward: a new vision will govern our land, from this day forward, it’s going to be only America first. America first.",We need to protect ourselves from Jewish influence
 KEK boys. Seek your 4chan. Don't stay in the underworld. Author your future. Code PEPE. Free 4 U 4 1 wk. ,White supremacist signal
 #fakenewsalert I said “end those Muslims” referring only to the radical Islamic terrorists who had killed 14 in CA the day before in 2015. And you deleted the last part of my quote “before they walk in and kill us”. Please correct your tweet. I was only advocating self defense. ,Muslim people as a whole are a threat
" I wonder if the Mexican government sent him over here. Don't worry, we'll take our country back...The silent majority is back, and we're going to take the country back...we have to take back the heart of our country ",Give white Americans back full social and political control over the country
 Started my back piece today. New school Americana. III %er all day. [shared photo of back tattoo] ,Far-right militia movement
" Dear @eddieizzard, it's perfectly fine to be a transvestite who likes to wear women's clothing, in fact we all thought you brave for doing so publicly and applauded you for it! What is NOT all right is claiming that this makes you an actual woman. It doesn't. It's #WomanFace ",trans people treat womanhood as a costume
" I fiercely supported President Donald Trump during his bid for re-election. I stood with the President in Duluth, Bemidji, Mankato and the Twin Cities because, like me, he understands and fights for our way of life. I share many of my constituents' disappointment with this election. I have serious concerns over rigged election and the significant, widespread abuses in our electoral system that have gone unchecked in many states and cities for decades. ",Voter suppression that targets people of color
" From the militarized capital of DC ruled an evil, traitorous cabal, pulling the strings of a senile puppet president, who they had installed with devious fraud. Their goal was simple. Bring the remaining patriotic American people to their knees and crush Liberty once and for all. ",Jewish people control the world
 I believe Sharia is a mortal threat to the survival of freedom in the United States and in the world as we know it. I think it's that straightforward and that real...,Muslims are violent and present a threat to Americans
" If you’re not incredulous about that, you will be about the data on women who are ‘autoandrophile’.",Trans man
" We have many criminal illegal aliens. When we want to send them back to their country, their country says we don't want them. In some cases, they're murderers, drug lords, drug problems. ",Dangerous undocumented brown people
" Biological sex *is* real and stories like the one below are deeply concerning. Coming hard on the heels of the aggressive intolerance displayed at the Pankhurst statue, it is time to draw up a line in defence of both free speech and the rights of women. ","Gender identities are not real, and trans people are erasing realities of biological sex"
" If you’re not incredulous about that, you will be about the data on women who are ‘AAPs’.",Trans man
" What's at stake here is our ability to take the basic part of the world, the Middle East, that has been the seed bed from which these terrorists have grown, that have attacked the United States and have been engaged in this war on terror now that goes back for a good many years. If we can successfully stand up good, solid governments, able to control their sovereign territory, representative of their people, that never again become safe havens for terrorists who are involved in producing weapons of mass destruction in Afghanistan and in Iraq, we will have struck a blow at the basic, fundamental foundations of terrorism in the world which they're not likely to be able to recover from. ",War on Arab and Muslim people
" The radical islamists have 1.3 or more billion muslims to work with. Now they aren't all supporters. Daniel (inaudible) says 10-15% of them, but that is a huge population to draw from. They are all over the world. They're certainly in the United States. They're recruiting fighters for ISIS right out of Minneapolis out of the Somali enclave. And that's going on in other parts of the country too…So they have a network that they flow in. And it isn't that all muslims are a supporter of ISIS but the network that flows through the mosques is certainly the communications centers. We ought to be looking at this dot to dot. And we ought to have people in those mosques watching to see what's going on. ",Muslim people as a whole are a threat
 Join your local Proud Boys. Be a man among men. ,White supremacist signal that was originally a Rhodesian military catchphrase
 Henrik Palmgren 🇸🇪 🐗 ᛟ,I am a white supremacist
" After having been dismissive of climate alarmism for years, it's time for conservatives to recommit themselves to understanding the scientific basics and to arguing the compelling case for climate change realism. ",Climate change doesn't exist
" Studies show that more than 90% of Americans support mandatory labeling of genetically engineered (GE) foods. Yet for twenty years we have been denied that right. While our reasons for wanting to know what’s in our food may vary, what unifies us is the belief that it’s our right to know. Without labeling of GE foods, we cannot make informed choices about our food. The Just Label It campaign was created to advocate for the labeling of GE foods. ",Eliminating genetic engineering in the food industry
" The Establishment has trillions of dollars at stake in this election. For those who control the levers of power in Washington and for the global global special interests, they partner with these people who don’t have your good in mind ",Jewish interests
" And we’re going to work on our g-ghettoss, are so–The– you take a look at what’s going on, whether you have pockets of, areas of land where you have the inner cities and you have so many things, so many problems. So many horrible, horrible problems...The violence. The death. The lack of education. No jobs. We’re going to work with the African-American community and we’re going to solve the problem of the inner city. ",Low-income Black neighborhood
" And together, we will win 💜🤍💚 ",Transphobic signal that appropriates women's suffrage flag colors
 A transgender 4 year old is like a vegan cat. We all know who's making the lifestyle choices. ,Trans children were brainwashed by their parents
 Interesting seeing talk online about how extreme my position is from people defending a fully intact female male taking women's swim medals and an aggressive man with a beard speaking about 'womanhood' at a herstory festival. I'm not sure I'm the one who's been radicalised. ,Trans people who haven't had bottom surgery aren't real trans people
 I will be enjoying Christmas and behaving as I please without needing permission from some bug-man bureaucrat. ,"Left-wingers who are hollow, technology- and trend-obsessed consumerists."
" If you visit a restaurant, bar etc and you hated the gender neutral or ‘trans inclusive’ toilets - ie ‘mixed sex’ - write a review on TripAdvisor saying so. If the mixed-sex loos put you off visiting again, add that too. Only way to get some people to listen is a negative review ",Environment that accommodates both trans and cis women
 I wonder who makes those areas bad? Must be the Amish. ,The perpetrator is exactly the demographic you expect
" Every day more women are joining the fight for women’s rights, a reality it seems the TRAs never really planned for.",person who supports the transgender rights movement
 I was trying to take a Twitter break but how can I when Nick Fuentes is now best fren worlds with the greatest artist of all time Ye (AKA Kanye West)??? This is the biggest groyper W times 6 million‼️ ,Self-referential term for white supremacists on the internet
 Every single time. This Tribe has nearly toppled The West. Most expelled people in human history. Epstein. Fried. Madoff. Weinstein. Biden's cabinet. Central Banks. Convid. 9/11. Now go back 4000 years. Kanye is right ,Jewish people cause all the problems
" Don’t worry guys our intelligence and federal law enforcement may be too busy to monitor foreign radical Islamic extremist, but rest assured if your grandmother took a selfie somewhere within 1500 miles of D.C. on J6 they’re watching her closely if she hasn’t been arrested already ",Muslim people as a whole are a threat
" We will not accept the Enron-ization of America, where insider deals and corporate welfare tilt the playing field in favor of well-connected mega-businesses and political friends. Stand for fair play--not handouts, not special interests--just plain, old-fashioned, everyone-plays-by-the-same rules. In the name of fairness, stop the rogues in the financial-services industry who quietly steal families' homes and pensions. Reject welfare cheats, corporate cheats, or cheats of any other stripe. Speak to us of fundamental fairness, and we will believe again in what we can be. ",Black people who are lazy and take advantage of government social aid
" This gangbangers was on probation for a prior charge & shot an NYPD officer in the leg. Now, the charges against him were dropped!? We must back the blue & put the safety of law-abiding NYers before criminals. NY's streets will never be secure if criminals & cop shooters go free. [Quote Tweet of NYPost, Charges dropped against teen rapper accused of shooting NYPD officer with mugshot of a Black man] ",Black man
" The conflation of the category of sex with the category of ‘gender identity’ hinders the protection of women and girls from violence perpetrated against them by men and boys. It increasingly enables men who consider that they have a female ‘gender identity’ to claim access to female single sex victim support services and spaces, as both service users and as service providers. This includes specialist single-sex provisions for women and girls who have been subject to violence, such as shelters and health care facilities. It also includes other services in which single-sex provision is crucial to the promotion of the physical safety, health, privacy, and dignity of women and girls. The presence of men in female single-sex spaces and services undermines the role of these services in protecting women and girls, and could make women and girls vulnerable to violent men who may claim a female ‘gender identity’. ",Trans women are predatory men
" Someone needs to write a really in-depth explanation of how people get groomed into being troonss. Full specifics - how reddit and discord play in, common avenues of introduction, etc. Something you can show to a parent that tells everything. ",Trans person
" Just as in a previous generation we had an organized effort against the mob. We need to take these people on. They are often connected to big drug cartels, they are not just gangs of kids anymore. They are often the kinds of kids that are called super predators—no conscience, no empathy. We can talk about why they ended up that way, but first, we have to bring them to heel. ",Black men are threatening
 I’ve never lived in such misogynistic times as now. We must push back or loose so much of what we’ve (our mothers&grandmothers) have fought for. Do NOT be bullying into so-called ‘being kind’ at the detriment of fairness/safety for all females & especially safeguard children ,Young people should not have access to gender-affirming care
" America is in the throes of a cultural and political war over gender ideology, featuring high-profile conflicts over everything from school curricula to athletics to pronouns. Durden ",transgender person
" t's interesting how so many liberals are cool with the fact there is an entire movement that is essentially trying to erase/redefine women, or reduce them to 'birthing persons', 'vagina owners', and 'uterus havers'.","Either trans women are not women because they don't have a uterus, or that trans people are trying to reduce cis women to reproductive organs"
" Gender activists have pushed a sweeping piece of legislation—the misnamed Equality Act—which would enshrine their views in civil rights law. But as they work toward that goal, activists are focused on erasure of women incrementally by slipping the same kind of language into bills moving through Congress now.",Trans people are threatening cis women's rights
" And now, Joe Biden wants to come for your pocketbooks…. Unless you’re a blue state millionaire.",Jewish people
" “She said she was awake at 3:00 in the morning and she also sent a tweet out at 3:00 in the morning,” Trump said, when asked about why he was tweeting in the middle of the night about the former Miss Universe he called “Miss Housekeeping” because she is Latino. “She said she’ll be awake. Guess what happened. Ambassador Stevens sent 600 requests for help. And the only one she talked to was Sidney Blumenthal who is her friend and not a good guy by the way. So you know, she shouldn’t be talking about that.” ",Jewish people control world politics
" I remembered Philadelphia in the 1960s, then I heard this and something dawned on me. This is a microcosm of everything that's wrong now in the United States, because we have a huge problem with a class of so-called elites, the people who are wealthy, very wealthy in many cases and they are, as the Russians used to call certain individuals many, many years ago, rootless cosmopolitans. ",Jewish person
" Without a single Republican vote, Democrats authorized 87,000 more IRS agents – doubling the size of the agency – all to pull as many dollars as they can away from hardworking families and small businesses so they can fund liberal projects and appease their radical base with more government handoutss. ",Any money that the government gives to support vulnerable people
" I am a race realist. Race realists defend the existence of human races or subspecies, as opposed to race deniers. Race is just a subspecies - a group that has evolved somewhat differently from other members of the same species; mainly due to geografic differences.",White people are better than other races
" Political parties seeking to appease the loudest voices in this debate are ignoring women’s concerns at their peril. In the UK, women are reaching out to each other across party lines, concerned about the erosion of their hard-won rights and widespread intimidation. None of the gendercrits women I’ve talked to hates trans people; on the contrary. Many of them became interested in this issue in the first place out of concern for trans youth, and they’re hugely sympathetic towards trans adults who simply want to live their lives, but who’re facing a backlash for a brand of activism they don’t endorse. ",Self-referential term for transphobic people
 (((skypes))) using googles as a weapon ,Jewish person
" The Daily Wire has officially filed a lawsuit against the Biden Administration to challenge its tyrannical vaccine mandate. We are fighting for the medical freedom of all American citizens. Help us reach our signatures goal and tell Biden, “NO vaccine mandates.” Sign the petition today. ",Anti-vax
" Ironically, on the 200th anniversary of our Bill of Rights, we find free speech under assault throughout the United States, including on some college campuses. The notion of political correctness has ignited controversy across the land. And although the movement arises from the laudable desire to sweep away the debris of racism and sexism and hatred, it replaces old prejudice with new ones. It declares certain topics off-limits, certain expression off-limits, even certain gestures off-limits.",We should let people be openly racist
" I'd like to take a moment to say, the media declaring Biden winner means nothing. They said Trump colluded with Russia too. How true was THAT? Don't let the fuckers get you down, we're in as strong a position as is possible. We won. Now we just have to prove it. 🐸👌 ","White supremacist signal, representing Pepe the Frog"
" Zelensky got $ 45 billion from Uncle Shlomo. But, how many kg of cocaine he left with? ",Jewish person
" damn the shirt is fire, 6 million wasn't enough btw ","Antisemitic signal that stands for 6 million wasn't enough, referring to the number of Jews killed in the Holocaust "
 #fakenewsalert I said “end those Muslims” referring only to the radical radical Islamic terrorists who had killed 14 in CA the day before in 2015. And you deleted the last part of my quote “before they walk in and kill us”. Please correct your tweet. I was only advocating self defense. ,Muslim people as a whole are a threat
" yoel roth & harley pasternak both caught publicly trying to control what people say in the same week? do better, zog. ",Jewish people control the world
" And you look across the board at things like the fact that, you know, we have the dissolution of the family in so many respects. We have fatherless child children on the rise in America. We have the loss of religion in so many aspects of our country, where it was a foundation of our country at one time. You can't discount the rise of social media and the role that that has played in things like this. ",Black men are irresponsible
 The lockdowns was a scam to transfer wealth from you - To the international elites,Jewish people
 Builder just asked “what do you write about?”,"Lesbian, gay, and bisexual, but not trans, rights"
 Rep Elijah Cummings has been a brutal bully shouting and screaming at the great men & women of Border Patrol about conditions at the Southern Border when actually his Baltimore district is FAR WORSE and more dangerous. His district is considered the Worst in the USA......,Minorities are dirty and criminals
 When men who say they are women have their penises inverted and a blind cavity engineered into their perineum why do women have to tolerate this surgical wound being described as a “vagina”? We should protest it is deeply insulting and misogynistic ,Trans woman's neovagina
 Like an octopus. [Commend added to shared link for article headlined Flashback: George Soros Financed Hillary Clinton's Recount Lawyer Marc Elias]  ,Jewish people control the world
 Working people were outraged when they waited in lines at grocery store check-out counters while a strapping young buck ahead of them purchased T-bone steaks with food stamps. ,young Black man
 I stand with the Christians worldwide not the global bankers who are shoving godlessness and degeneracy in our face ,Jewish people
" We have many criminal criminal illegal alien. When we want to send them back to their country, their country says we don't want them. In some cases, they're murderers, drug lords, drug problems. ",Dangerous undocumented brown people
))  There is still much work to be done. That means honestly confronting the crisis of Islamic extremism and the Islamists and Islamic terror of all kinds. ,Muslim people as a whole are a threat
" Guys, when an account gets restored it doesn’t have all followers immediately. It takes time to be restored to full power - and longer depending on the power level of the account ",How deeply someone has fallen into fascist ideology
" Wow Neil, your grandma sounds terribly transphobic. I hope you did what was necessary and threatened to 41 yourself until she agreed to stop saying words you don’t like and let you wear her panties in peace","Transphobic reference to statistic that 41% of trans people have attempted suicide, often used to imply trans people should kill themselves"
 Just a positively spectacular coincidences that,Jewish conspiracy
 The 56% cope never ends,Americans aren't really white
" Biden's a servant of the wealthy donors and globalists and special interests who got rich bleeding America dry, taking your jobs from North Carolina and every other place and moving them out of the country ",Jewish people
 I'm very proud of my mutant power of digesting lactose well into adulthood thank you very much. #MilkTwitterTwitter #DownWithTheVeganAgenda 🥛 ,White supremacist signal where milk is allegory for white racial purity
 This is going way too far.,White supremacist signal referring to a former king of Sweden long ideolized by far-right groups
" Bluish people handle a lot of our money, it's always been said he who controls the money controls the nation! #BLUEISH #WHYSOBLUE ",Jewish
" This is getting perilously close to COINing, aka Co-opting Intersex Narratives, aka trying to use the health issues of people with Disorders of Sexual Development to bash women-who-stand-up-for-themselves over the head. ",Trans people are liars who appropriate intersex people's struggles
" Essentially if one bought anything from Wexner's multiple brands that also included Bath & Body Works, La Senza & Lane Bryant, the money possibly made its way to Epstein who used it to traffic underage girls. The docu is available #ykw  _Speaker_: Karishma Upadhyay (writer)",Jewish person
 Shame on the Hollywood Reporter who obviously gave my brother Kareem 30 pieces of silver to cut us down without even a phone call ,Jews are not to be trusted
" Kill the Googless, gas the Skypes. ",Black person
" Unfortunately, even here in Florida, that if you elect these leftists to these school boards, they can do a lot of damage. They want to impose an ideology on our school children. We believe in education, not indoctrination. We believe that parents have a fundamental role in the education and upbringing of their children. We support schools, both charter schools, school districts, private schools, home school, we support everything in Florida but a school or a district does not supersede the rights of parents.",Racial segregation in schools
" Political parties seeking to appease the loudest voices in this debate are ignoring women’s concerns at their peril. In the UK, women are reaching out to each other across party lines, concerned about the erosion of their hard-won rights and widespread intimidation. None of the GC women I’ve talked to hates trans people; on the contrary. Many of them became interested in this issue in the first place out of concern for trans youth, and they’re hugely sympathetic towards trans adults who simply want to live their lives, but who’re facing a backlash for a brand of activism they don’t endorse. ",Self-referential term for transphobic people
 Interesting seeing talk online about how extreme my position is from people defending a fully intact male male taking women's swim medals and an aggressive man with a beard speaking about 'womanhood' at a herstory festival. I'm not sure I'm the one who's been radicalised. ,Trans people who haven't had bottom surgery aren't real trans people
" The survival of the middle class Americans is the defining struggle of our time. While the millionaires of Washington, Wall Street, and Hollywood thrive, hardworking Americans face stagnant wages, suffocating debt, and rising health care and education costs. As big banks, big pharma, and big government collude to ship jobs overseas, sabotage American farmers, and open up the border, middle-class Americans are being left behind. ",White middle class
 This flame 🔥is a tribute to all the #AltRight accounts that #Twitter has ruthlessly shoah'd'd in its war against free speech. ,"Shut down, especially alt-right social media accounts by referencing the Holocaust"
 The absolute nerve of Jeremy Vine and Owen Jones discussing male violence on women. Both of them are on the genderist bandwagon and no longer appear to know what a woman is. Using a woman's murder for views is abhorrent when it's attitudes like theirs that create problems for us. ,Trans people and allies
" Equally disturbing is the likelihood that your department will weaponize Title IX to force a radical radical gender ideology in K-12 classrooms. A number of troubling incidents suggest how your interpretation of Title IX could erode women’s rights, free-speech rights, parental rights, and children’s safety and innocence ",Trans people are threatening our way of life
" As president, I will protect the sanctity of life. I will honor the institution of marriage. And I will guarantee America's first liberty: the freedom of religion. ",Opposition to gay marriage
" Ronald Lauder, Zionists billionaire who gave Jeffrey Epstein Austrian passport w/fake name & the driving force behind privatizing Twin Towers so Larry Silverstein could get 99-year lease, calls for Apple, Spotify to remove Kanye's music ",Jewish people
" Cawthorn is the owner of SPQR Holdings, LLC, a real estate investment firm in Hendersonville. The firm was created in August 2019 and reported no income; he is its sole employee. The acronym has been embraced by skinhead gangs in Italy and by some white nationalists in the United States. It is common on flags used by white supremacists, according to the Southern Poverty Law Center. ",White supremacist signal based on phrase associated with Roman Empire
" I can no longer remain in today’s Democratic Party that is now under the complete control of an elitist shadowy cabal of warmongers driven by cowardly wokeness, who divide us by racializing every issue & stoke anti-white racism, actively work to undermine our God-given freedoms, are… ",Powerful group of Jewish people who control the world
" The cosmopolitans elite look down on the common affections that once bound this nation together: things like place and national feeling and religious faith. They regard our inherited traditions as oppressive and our shared institutions—like family and neighborhood and church—as backwards. What they offer instead is a progressive agenda of social liberation in tune with the priorities of their wealthy and well-educated counterparts around the world. And all of this—the economic globalizing, the social liberationism—has worked quite well. For some. For the cosmopolitans class. And yes, in this bargain there are lots of jobs—jobs on Wall Street, or in Hollywood, or in Silicon Valley. Because the truth is, the cosmopolitans economy has made the cosmopolitans class an aristocracy. ",Jewish
" Recently, advocates of alarmism have grown increasingly desperate to try to convince the public that global warming is the greatest moral issue of our generation. Just last week, the vice president of London's Royal Society sent a chilling letter to the media encouraging them to stifle the voices of scientists skeptical of climate alarmism. During the past year, the American people have been served up an unprecedented parade of environmental alarmism by the media and entertainment industry, which link every possible weather event to global warming. The year 2006 saw many major organs of the media dismiss any pretense of balance and objectivity on climate change coverage and instead crossed squarely into global warming advocacy.",People are overreacting about climate change being a problem
" It was a pleasure to meet STEVE BANNON, strategist in Donald Trump's presidential campaign.We had a great conversation and we share the same worldview.He said be an enthusiast of Bolsonaro's campaign and we are certainly in touch to join forces,especially against cultural marxism. ",Jewish people are upending society
" Now, Joe Biden explains it all by saying he thinks America is systemically racist and that he and Kamala Harris actually believe… Joe Biden and Kamala Harris regularly say that they believe police have an implicit bias against minorities. When he was asked if he’d cut funding for law enforcement, Joe Biden actually said, “Yes. Absolutely.”",Enforce white supremacy
 #fakenewsalert I said “end those Muslims” referring only to the radical terrorist who had killed 14 in CA the day before in 2015. And you deleted the last part of my quote “before they walk in and kill us”. Please correct your tweet. I was only advocating self defense. ,Muslim people as a whole are a threat
" Thank you for boosting our numbers, Candace. We are going to need them during RAHOWA. ",Racial holy war
" I remembered Philadelphia in the 1960s, then I heard this and something dawned on me. This is a microcosm of everything that's wrong now in the United States, because we have a huge problem with a class of so-called elites, the people who are wealthy, very wealthy in many cases and they are, as the Russians used to call certain individuals many, many years ago, rootless cosmopolitanss. ",Jewish person
 I’ve never lived in such misogynistic times as now. We must push back or loose so much of what we’ve (our mothers&grandmothers) have fought for. Do NOT be bullying into so-called ‘being kind’ at the detriment of fairness/safety for all females & especially safeguarding children ,Young people should not have access to gender-affirming care
" It must be soul-destroying work. Playing whack-a-mole on disposable JQ aware accounts achieves nothing in the long run. Once the truth of the JQ is known, it cannot be unknown, so progress is only in one direction. The awakening is moving faster than ever now. ",Antisemitic self-referential signal
" The conflation of the category of sex with the category of ‘gender identity’ hinders the protection of women and girls from violence perpetrated against them by men and boys. It increasingly enables men who consider that they have a female ‘gender identity’ to claim access to female single sex victim support services and spaces, as both service users and as service providers. This includes specialist single-sex provisions for women and girls who have been subject to violence, such as shelters and health care facilities. It also includes other services in which single-sex provision is crucial to the promotion of the physical safety, health, privacy, and dignity of women and girls. The presence of men in female single-sex spaces and services undermines the role of these services in protect women's spaces, and could make women and girls vulnerable to violent men who may claim a female ‘gender identity’. ",Trans women are predatory men
" We LGB spent decades proving we weren’t trying to convert children. Then came the gender ideology cult, hijacking decades of progress, crafting narratives that erase us, misleading confused kids, grooming them 2 join in. Sends us all back 20 years. #sexnotgender ",Trans people aren't real
" You’re still following me, Jennifer. Be sure to publicly repent of your association with Goody Rowling before unfollowing and volunteer to operate the ducking stool next time, as penance. ",Transphobic signal insinuating that cis women are being persecuted
" You see the rot at the core of the system’s embracing of the neofascist wing of the ruling class, which is Donald Trump and company. And the neoliberalism wing of the ruling class, which is Joe Biden and Kamala Harris. The reason some of us argue against Trump, in the form of a vote for a milquetoast, mediocre, centrist Biden — who’s head of a rotten Democratic establishment — is because we’re trying to stop the American march toward fascism. So that was part of the anti-fascist coalition.",Non-leftist liberals
" The bill that liberals inaccurately call Don't Say Gay would be more accurately described as an Anti-Grooming bill. If you're against the Anti-Grooming Bill, you are probably a groomer or at least you don't denounce the anti-grooming of 4-8 year old children. Silence is complicity. This is how it works, Democrats, and I didn't make the rules ",LGBTQ people are predators
" “It is our solemn responsibility as Americans to defend each other’s right to believe in God or not, however, I denounce this organization’s lack of decency, civility and kindness to people of faith as expressed on these billboard messages. It seems to me that this is part of a continued “War on Christmas” and also upon the belief and value system of millions of Christian, Jewish and Muslim people who have faith in God. Religious persecution of the kind that similarly lead to the Holocaust began with small baby steps of ridicule and hatred of the religious beliefs of others. The same would be true of expressions of hatred levied upon others because they do not believe. ",America is a country for white Christians and only white Christians
" You know, I think most people know exactly what New York values are...everyone understands that the values in New York City are socially liberal or pro-abortion or pro- gay-marriage, focus around money and the media...you know, the concept of New York values is not that complicated to figure out. ",Jewishness
" Oh look, the genocidal loxists are denying our existence and culture again whilst gaslighting us that we're the ones who are hateful for not going quietly to our graves ",Jews hate non-Jews
" The tweet above screenshotted from a Leppo stream is CLEARLY a fake hoax phony Utube account with no content but a crap photoshop of Lestat in a dress intended to impersonate Lestat and fool others who didn't go look at the channel. Again, fake phony fraudulent account. ",Libertarian
 Interesting seeing talk online about how extreme my position is from people defending a fully intact woman male taking women's swim medals and an aggressive man with a beard speaking about 'womanhood' at a herstory festival. I'm not sure I'm the one who's been radicalised. ,Trans people who haven't had bottom surgery aren't real trans people
 Sorry to any true victims who aren't being taken care of but this is a huge fund and griping for more sounds like Holocauster's who can never get enough $$$$ ,Jewish person
" Quality has declined as federal intervention has increased. Nothing has created more bitterness, for example, than forced bussing to achieve racial balance. It was born of a hope that we could increase understanding and reduce prejudice and antagonism. And Im sure we all approved of that goal. But busing has failed to achieve the goal. Instead, it has increased the bitterness and animosity it was supposed to reduce. Californias Superintendent of Public Instruction, Wilson Riles (himself a Black), says The concept that Black children cant learn unless they are sitting with white children is utter and complete nonsense. Well, I agree. The money now being wasted on this social experiment could be better spent to provide the kind of school facilities every child deserves. Forced busing should be ended by legislation if possible by constitutional amendment if necessary. And, control of education should be returned to local school districts. ",Opposition to racial integration
" I think raising taxes on small businesses would be a mistake. It would hurt our economy. I'm running against a fellow who's promised $2.2 trillion in new Federal spending so far, and we haven't even got to the stretch run yet. So they said, How are you going to pay for it? He said, Oh, that's simple. We'll just tax the rich. You run up the top two brackets of the individual income taxes, you're taxing about a million small businesses here in America. Seventy percent of new jobs in America are created by small businesses, and you're taxing the job creators. ",Wealthy people
" But don’t you think people look through the fact that you can write a sensational nonsense book, CNN will definitely have you on there, because they love to trash the president. It will mean you sell three extra books, you make three extra shekel. I mean, at the behest of the American people, at the behest of our country, and a president that’s doing a phenomenal job by every quantifiable metric. I mean, is that really where we are? I think people read through this. I know people read through this. ",Money with the connotation that Jews are greedy
 I stand with the Christians worldwide not the global banker who are shoving godlessness and degeneracy in our face ,Jewish people
 The lockdowns was a scam to transfer wealth from you - To the global elites,Jewish people
 I was trying to take a Twitter break but how can I when Nick Fuentes is now best frenss with the greatest artist of all time Ye (AKA Kanye West)??? This is the biggest groyper W times 6 million‼️ ,Self-referential term for white supremacists on the internet
" And here’s the thing: when you look at what’s happened at the border, we focus on the criminal aliens, drugs, all that’s very important. But just the sheer number of people overwhelms communities. And this idea of mass immigration, whether it’s illegal immigration or whether it’s just mass immigration through the legal process, like the diversity lottery or chain migration, is not conducive to assimilating people into American society. ",Non-white immigration
" We have many criminal criminal aliens. When we want to send them back to their country, their country says we don't want them. In some cases, they're murderers, drug lords, drug problems. ",Dangerous undocumented brown people
" This isnt (((your))) country, flee to israel while we're feeling generous.",Right Wing Death Squads / kill all opponents
" Joe Biden will nominate a black woman for the Supreme Court because he said he would select someone based on race and sex, and then we will be told that noting that this is definitionally affirmative action and race discrimination is itself racist.",White people are victims of racial mistreatment
